Method,Mean Objective,Std Objective,Mean Runtime,Std Runtime,Success Rate,Min Objective,Max Objective,Mean Gap,Std Gap,Mean Max Violation,Std Max Violation,Mean Inf Norm X,Std Inf Norm X,Mean One Norm Y,Std One Norm Y,Mean Memory Peak,Std Memory Peak
PuLP,68.62500000000001,0.0,0.10482645511627198,0.02740147380975353,1.0,68.62500000000001,68.62500000000001,,,,,,,,,78315.52,149914.5592475165
Benders,67.12499999775054,1.4355131050823087e-14,2.9255990600585937,0.33007399491737777,1.0,67.12499999775055,67.12499999775055,0.021857923530046838,0.0,5.0,0.0,5.0,0.0,36.00000000767928,4.972763265867039e-15,496025.6,894524.4997588018
Quantum-Inspired,54.674999944770704,7.177565525411544e-15,9.532649412155152,1.0229526835461524,0.0,54.67499994477071,54.67499994477071,0.20327868932938872,0.0,94.999999999328,0.0,94.999999999328,0.0,337.999999998588,4.939500262008144e-14,847380.48,1464962.525934788
Quantum-Enhanced,51.33099998616924,9.427013617569758,9.12916223526001,1.412540543194664,0.24,24.699999996651716,65.32499999856796,0.2520072861760404,0.13736996164036072,74.9799999846678,24.7439870851917,74.9799999846678,24.7439870851917,250.7199999378164,101.41187782026635,134301286.4,59715750.962692015
Quantum-Enhanced-Merge,61.07799995417665,4.731037961713105,10.331516785621643,3.1377147073625746,0.76,42.59999999945051,63.97499992868253,0.10997449975698892,0.06894044388652974,34.000000070387905,30.94893745736565,34.000000070387905,30.94893745736565,121.88000018316369,69.12326739781074,137160867.84,59346153.577409394
