EPDT L1 Heuristic Performance Profile
==================================================

         2857512386 function calls (2370968542 primitive calls) in 819.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   803017    0.524    0.000    0.947    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:781(insert_task)
  4131188    0.837    0.000    0.837    0.000 {method 'get' of 'mappingproxy' objects}
  1177121    0.281    0.000    0.746    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:332(calculate_z2_score)
  5653955    0.739    0.000    0.739    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:624(is_delivery)
  8296856    0.624    0.000    0.624    0.000 C:\Python313\Lib\enum.py:1318(__deepcopy__)
    57278    0.418    0.000    0.582    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:253(_get_order_vehicle_assignments)
  8305600    0.577    0.000    0.577    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:184(<genexpr>)
  2970173    0.570    0.000    0.570    0.000 {built-in method math.sqrt}
  4001027    0.568    0.000    0.568    0.000 {built-in method builtins.len}
  4768008    0.534    0.000    0.534    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:487(get_current_max_daily_drive)
   192900    0.151    0.000    0.483    0.000 {method 'index' of 'list' objects}
  1468601    0.447    0.000    0.447    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:802(_invalidate_caches)
  3457713    0.442    0.000    0.442    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:493(get_current_max_daily_work)
   472684    0.253    0.000    0.401    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:792(swap_tasks)
  1183259    0.362    0.000    0.362    0.000 {built-in method builtins.sorted}
  2518045    0.357    0.000    0.357    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:707(<lambda>)
  1013420    0.338    0.000    0.338    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\hos_simulation.py:193(check_weekly_rest_requirement)
   390804    0.332    0.000    0.332    0.000 <string>:24(__eq__)
      568    0.004    0.000    0.290    0.001 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:1408(_calculate_travel_time_between_tasks)
      568    0.005    0.000    0.285    0.001 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\route_provider.py:420(calculate_travel_time_between_tasks)
  2518045    0.284    0.000    0.284    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:709(<lambda>)
   995740    0.283    0.000    0.283    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:499(take_break)
      568    0.002    0.000    0.279    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\route_provider.py:336(calculate_vehicle_travel_time)
      568    0.002    0.000    0.267    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\route_provider.py:153(get_route_details)
      568    0.005    0.000    0.265    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\route_provider.py:196(_query_local_db)
  1016373    0.258    0.000    0.258    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\hos_simulation.py:135(check_break_requirement)
  1182703    0.230    0.000    0.230    0.000 {method 'extend' of 'list' objects}
  1240791    0.209    0.000    0.209    0.000 {method 'keys' of 'dict' objects}
   192900    0.108    0.000    0.202    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:786(remove_task)
   803017    0.177    0.000    0.177    0.000 {method 'insert' of 'list' objects}
    59740    0.097    0.000    0.174    0.000 {built-in method builtins.sum}
  1013420    0.147    0.000    0.147    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\hos_simulation.py:81(get_max_daily_drive)
    91169    0.042    0.000    0.125    0.000 {built-in method builtins.next}
      569    0.115    0.000    0.115    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
  1013420    0.109    0.000    0.109    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\hos_simulation.py:88(get_max_daily_work)
      569    0.083    0.000    0.094    0.000 {built-in method _sqlite3.connect}
   638621    0.077    0.000    0.077    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:1150(<genexpr>)
     2222    0.022    0.000    0.042    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:1050(_is_valid_route_order)
   192910    0.040    0.000    0.040    0.000 {method 'pop' of 'list' objects}
    29693    0.029    0.000    0.029    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:964(<genexpr>)
    23088    0.025    0.000    0.025    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:864(<genexpr>)
   119300    0.024    0.000    0.024    0.000 {method 'values' of 'dict' objects}
     1136    0.002    0.000    0.023    0.000 C:\Python313\Lib\json\__init__.py:299(loads)
      569    0.023    0.000    0.023    0.000 {method 'close' of 'sqlite3.Connection' objects}
